id,collection,dc.contributor.author,dc.contributor.editor,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.relation.isnodouble,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.ecitpid,ethz.ecolpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.isCitedBy,ethz.relation.isPartOf,ethz.relation.isReferencedBy,ethz.relation.isSourceOf,ethz.relation.isVariantFormOf,ethz.relation.references,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit
"210524","20.500.11850/8","Komendantova, Nadejda",,,"2018-01-17T10:45:22Z","2018-01-16T13:47:52Z||2018-01-16T14:17:19Z||2018-01-17T10:45:22Z","2016-03-01",,,,,"978-981-09-8067-2",,"http://hdl.handle.net/20.500.11850/229475||http://hdl.handle.net/20.500.11850/125195","10.7763/IPCBEE","http://hdl.handle.net/20.500.11850/230001","en","IPCBEE",,,,"Middle East and North African region||renewable energy sources||private public partnerships","Renewable Energies in the Middle East and North African Region: can Private-Public Partnerships Address Existing Barriers and Risks?",,"Conference Paper","Metadata only",,,"2017-06-12T17:59:30Z",,"pub:187776",,"yes","5th International Conference on Climate Change and Humanity (ICCCH 2016)","January 23-25, 2016","Pattaya, Thailand",,,,,,,,,,"http://www.ipcbee.com/list-129-1.html",,,,"International Proceedings of Chemical, Biological & Environmental Engineering","91","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"37","31","Singapore","published",,,,,,,,,"2018-01-17T10:45:25Z","2018-11-06T06:53:36Z","true","7 p.","FORM||ECIT",,,
"110696","20.500.11850/3","Thomann, Eva||Lieberherr, Eva||Ingold, Karin",,,"2017-06-11T23:16:57Z","2017-06-11T23:16:57Z","2016-03",,,,,,"1449-4035||1839-3373",,"10.1016/j.polsoc.2015.12.001","http://hdl.handle.net/20.500.11850/110729","en","Elsevier",,,,,"Torn between state and market: Private policy implementation and conflicting institutional logics",,"Journal Article","Metadata only",,,"2017-06-11T23:17:26Z",,"pub:171977",,"yes",,,,,,,,,,"imp593653f9489c663947",,"84960239509",,"000374076100005",,"1","Policy and Society","35","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693","Published online 26 January 2016.","69","57","Amsterdam","published",,,,,,,,,"2017-07-12T22:36:08Z","2020-02-14T16:18:25Z","true","13 p.","ECIT",,,
"317492","20.500.11850/10","Lieberherr, Eva||Widmer, Alexander||Ingold, Karin",,,"2019-11-05T13:31:02Z","2017-06-12T19:17:41Z||2019-11-05T13:31:02Z","2016",,,,,,,,,"http://hdl.handle.net/20.500.11850/127418","en",,,,,,"Regionalization of water supply structures",,"Other Conference Item","Metadata only",,,"2017-06-12T19:18:06Z",,"pub:190265",,"yes","Resource Lab Workshop on Water Governance Through Functional Regulatory Spaces","November 2, 2016","Chexbres, Switzerland",,,,,,,"imp5936552f985df90437",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693",,,,,"unpublished",,,,,,,,"true",,,,,"ECIT",,,
"244427","20.500.11850/14","Lieberherr, Eva||Viard, Claudine||Herzberg, Carsten","Wollmann, Hellmut||Koprić, Ivan||Marcou, Gérard",,"2018-07-19T14:52:18Z","2017-06-11T20:57:43Z||2018-07-19T14:52:18Z","2016","2016-07-13",,,,"978-1-137-57498-5||978-1-349-84711-2||1-349-84711-9",,,"10.1057/978-1-137-57499-2_17","http://hdl.handle.net/20.500.11850/106743","en","Palgrave Macmillan UK",,,,"European Union||Private Company||Water Service||Water Sector||Public Ownership","Water Provision in France, Germany and Switzerland: Between convergence and divergence",,"Book Chapter","Metadata only","Public and Social Services in Europe : From Public and Municipal to Private Sector Provision",,"2017-06-11T20:58:39Z",,"pub:167016",,"yes",,,,,,,,,,"imp593653ad1364034395",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693",,"263","249","London","published",,,,,,,,,"2018-07-19T14:52:21Z","2020-02-15T14:02:37Z","true",,"ECIT",,,
"177793","20.500.11850/22","Truger, Barbara||Bramreiter, Rafael||Schinko, Thomas||Bednar-Friedl, Birgit||Riegler, Monika||Komendantova, Nadejda",,,"2017-09-13T11:30:30Z","2017-06-12T18:16:21Z||2017-09-13T11:30:30Z","2016",,,,,,,,,"http://hdl.handle.net/20.500.11850/125799","en","International Institute for Applied Systems Analysis (IIASA)",,,,,"Scoping study on the history and current context of Climate and Energy Model Regions",,"Working Paper","Metadata only",,,"2017-06-12T18:17:12Z",,"pub:188438",,"no",,,,,,,,,,"imp59365516055f210602",,,"http://pure.iiasa.ac.at/14577",,,,"LINKS Working Paper","2.1","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,,,"Laxenburg","published",,,,,,,,,"2017-07-18T18:45:00Z","2018-11-05T19:30:01Z","true","41 p.","ECIT",,,
"106712","20.500.11850/14","Lieberherr, Eva||Truffer, Bernhard||Dominguez, Damian","Finger, Matthias||Jaag, Christian",,"2017-06-11T20:57:44Z","2017-06-11T20:57:44Z","2016",,,,,"978-1-138-78282-2||1-138-78282-3||978-1-315-76898-4",,,,"http://hdl.handle.net/20.500.11850/106745","en","Routledge",,,,,"The strategy/management perspective: water and wastewater",,"Book Chapter","Metadata only","The Routledge Companion to Network Industries",,"2017-06-11T20:58:39Z",,"pub:167018",,"yes",,,,,,,,,,"imp593653ad177fa41829","010476067",,,,,,"Routledge Companions in Business, Management and Accoutning",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy","08693","08693",,"402","389","New York, NY","published",,,,,,,,,"2017-07-25T10:52:34Z","2020-02-14T15:54:40Z","true",,"ECIT",,,
"198740","20.500.11850/16","Wilkes-Allemann, Jerylee",,"Hanewinkel, Marc||Engel, Stefanie","2017-11-29T09:25:17Z","2017-06-12T16:58:05Z||2017-11-29T09:25:17Z","2016","2016",,"application/pdf","10.3929/ethz-a-010579487",,,,,"http://hdl.handle.net/20.500.11850/123402","en","ETH Zürich",,"In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","FORSTEINRICHTUNG + FORSTÖKONOMIE||FREIZEITGESTALTUNG IM WALD||FOREST POLICY, MEANING AND FUNCTION OF FORESTS||SOZIALFUNKTION UND WOHLFAHRTSFUNKTION DES WALDES||SWITZERLAND (CENTRAL EUROPE). SWISS CONFEDERATION||FOREST MANAGEMENT||SCHWEIZ (MITTELEUROPA). SCHWEIZERISCHE EIDGENOSSENSCHAFT||WALDENTWICKLUNGSPLANUNG + FORSTLICHE RAUMPLANUNG + AUFFORSTUNGSPOLITIK + FORSTLICHE REGIONALPLANUNG (FORSTPOLITIK)||FOREST LEISURE ACTIVITIES||FORSTPOLITIK, BEDEUTUNG UND FUNKTION DER WÄLDER||FOREST DEVELOPMENT PLANNING + FORESTRY LAND USE PLANNING + FORESTRY REGIONAL PLANNING + AFFORESTATION POLICY (FOREST POLICY)||SOCIAL FUNCTION AND WELFARE FUNCTION OF THE FOREST","Governance of Forest Recreation",,"Doctoral Thesis","Open access",,"DDC - DDC::6 - Technology, medicine and applied sciences::630 - Agriculture||DDC - DDC::9 - History & geography::910 - Geography & travel","2017-06-12T16:58:26Z",,"pub:185797","eth:48516","yes",,,,,,,,,"22974","imp593654eba65e569411||imp59366b851d09836751","010579487",,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02140 - Dep. Inf.technologie und Elektrotechnik / Dep. of Inform.Technol. Electrical Eng.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::03728 - Engel, Stefanie (ehemalig)","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.::08693 - Gruppe Natural Resource Policy / Natural Resource Policy||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::03728 - Engel, Stefanie (ehemalig)","02140||08693||03728","08693||03728",,,,"Zürich","published",,,,,,,,,"2017-07-18T15:24:27Z","2021-02-14T20:55:57Z","true","1 Band","ECOL||ECIT",,,
"125166","20.500.11850/3","Komendantova, Nadejda||Scolobig, Anna||Garcia-Aristizabal, Alexander||Monfort, Daniel||Fleming, Kevin",,,"2017-06-12T17:59:24Z","2017-06-12T17:59:24Z","2016",,,,,,"1759-5908||1759-5916",,"10.1108/IJDRBE-03-2015-0013","http://hdl.handle.net/20.500.11850/125199","en","Emerald Publishing Limited",,,,"Governance||Participatory approaches||Resilience||Risk analysis||Disaster mitigation||Natural disasters","Multi-risk approach and urban resilience",,"Journal Article","Metadata only",,,"2017-06-12T17:59:30Z",,"pub:187780",,"yes",,,,,,,,,,"imp5936550bed66a12196","006290756",,,,,"2","International Journal of Disaster Resilience in the Built Environment","7","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,"132","114","Bingley","published",,,,,,,,,"2017-07-17T07:49:47Z","2021-02-14T14:51:38Z","true",,"ECIT",,,
"126903","20.500.11850/14","Bresch, David N.","Salzmann, Nadine",,"2017-06-12T19:05:49Z","2017-06-12T19:05:49Z","2016",,,,,"978-3-319-40771-5||978-3-319-40773-9",,,,"http://hdl.handle.net/20.500.11850/126936","en","Springer",,,,,"Shaping Climate Resilient Development: Economics of Climate Adaptation",,"Book Chapter","Metadata only","Climate Change Adaptation Strategies: An Upstream-downstream Perspective",,"2017-06-12T19:06:12Z",,"pub:189730",,"yes",,,,,,,,,,"imp5936552848ac639115","010742542",,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09576 - Bresch, David Niklaus / Bresch, David Niklaus","09576","09576",,"254","241",,"published",,,,,,,,,"2017-07-12T23:14:28Z","2018-11-03T01:57:02Z","true",,"ECIT",,,
"303390","20.500.11850/21","Buletti, Nora||Utz, Stephan||Ejderyan, Olivier||Graefe, Olivier||Lane, Stuart||Reynard, Emmanuel",,,"2019-08-02T09:19:38Z","2017-12-13T11:02:35Z||2018-01-05T10:05:00Z||2019-07-31T15:35:00Z||2019-08-02T09:19:38Z","2016",,,"application/pdf","10.3929/ethz-b-000220522",,,,,"http://hdl.handle.net/20.500.11850/220522","fr","Faculté des géosciences et de l’environnement, Université de Lausanne; Département de Géosciences, Université de Fribourg",,"In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"Evaluation des processus participatifs pour la mise en œuvre des projets d’aménagement des cours d’eau",,"Report","Open access",,,"2017-12-13T11:02:36Z",,,,"yes",,,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,,,"Lausanne; Fribourg","published","handle/20.500.11850/225862",,,,,,,,"2018-01-05T10:05:03Z","2019-08-02T09:19:49Z","true","81 p.","FORM",,"Résultats de l’analyse des études de cas par l’identification des valeurs publiques",
"319509","20.500.11850/41","Lilliestam, Johan",,,"2019-11-18T13:57:54Z","2017-06-12T18:16:28Z||2019-10-31T14:25:26Z||2019-11-07T16:19:47Z||2019-11-15T11:19:05Z||2019-11-18T13:57:54Z","2016",,,,,,,,,"http://hdl.handle.net/20.500.11850/125815","en",,,,,,"National Renewable Energy Laboratory, Golden CO, USA: Learning curves for concentrating solar power and their response to changes in policy regime and economic context.",,"Presentation","Metadata only",,,"2017-06-12T18:17:12Z",,"pub:188456",,"yes","Interla workshop at National Renewable Energy Laboratory (NREK)","September 12, 2016","Golden, Colorado, USA",,,,,,,"imp593655164cc0242517",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451","Invited presentation",,,,"unpublished",,,,,,,,,"2020-02-15T22:37:56Z","2020-02-15T22:37:56Z","true",,"ECIT",,,
"319174","20.500.11850/8","Lilliestam, Johan",,,"2019-11-15T11:03:59Z","2017-06-12T18:16:27Z||2019-10-31T14:19:14Z||2019-10-31T14:20:41Z||2019-11-07T16:36:41Z||2019-11-15T11:03:59Z","2016",,,,,,,,,"http://hdl.handle.net/20.500.11850/125813","en",,,,,,"Empirically observed learning curves for concentrating solar power and their response to changes in policy regime and economic context",,"Conference Paper","Metadata only",,,"2017-06-12T18:17:12Z",,"pub:188454",,"yes","22nd SolarPACES Conference (2016)","October 11-14, 2016","Abu Dhabi, United Arab Emirates",,,,,,,"imp59365516463db20569",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451",,,,,"unpublished",,,,,,"20.500.11850/223914",,,"2020-02-15T22:34:44Z","2020-02-15T22:34:44Z","true",,"ECIT",,,
"240024","20.500.11850/21","Scolobig, Anna||Maestri, Carolina",,,"2018-06-20T08:53:04Z","2017-06-11T20:15:08Z||2018-06-20T08:53:04Z","2016",,,,,,,,,"http://hdl.handle.net/20.500.11850/105681","en","Department of Geography, King’s College London",,,,,"Risk root cause analysis: the Genova case study (Italy)",,"Report","Metadata only",,,"2017-06-11T20:15:48Z",,"pub:165453",,"yes",,,,,,,,,,"imp593653978aab276440",,,,,,,"Contested Development Working Paper Series","72","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::09451 - Patt, Anthony G. / Patt, Anthony G.","09451","09451","Report submitted as a contribution to Deliverable 1.3. of the PEARL project Preparing for extreme and rare events in coastal regions, European Commission 7th Framework Programme.",,,"London","published",,,,,,,,,"2018-06-20T08:53:08Z","2018-06-20T08:53:08Z","true","43 p.","ECIT",,"Paper for the PEARL project Work Package 1 - Testing the Risk Root Cause Analysis Framework",
"187050","20.500.11850/13",,"Lai, Adelene||Hensley, John||Krütli, Pius||Stauffacher, Michael",,"2017-10-18T14:22:12Z","2017-06-12T19:05:45Z||2017-10-18T14:22:12Z","2016",,,,,,,,,"http://hdl.handle.net/20.500.11850/126927","en","ETH Zürich, USYS TdLab",,,,,"Solid Waste Management in the Seychelles. USYS TdLab Transdisciplinary Case Study 2016",,"Edited Volume","Metadata only",,,"2017-06-12T19:06:12Z",,"pub:189720",,"yes",,,,,,,,,,"imp59365528248ba33661",,,"https://www.ethz.ch/content/dam/ethz/special-interest/usys/tdlab/docs/csproducts/cs_2016_report.pdf",,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,,,"Zürich","published",,,,,,,,,"2017-07-12T22:40:11Z","2019-02-02T12:46:52Z","true","188 p.","ECIT",,,
"196877","20.500.11850/16","Hitziger, Martin",,"Heinrich, Michael||Edwards, Peter J.","2017-11-22T11:34:25Z","2017-06-12T13:51:11Z||2017-08-09T08:19:51Z||2017-10-12T13:00:12Z||2017-11-22T11:34:25Z","2016","2016",,"application/pdf","10.3929/ethz-a-010735971",,,,,"http://hdl.handle.net/20.500.11850/121326","en","ETH Zürich",,"In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","GUATEMALA (ZENTRALAMERIKA). REPUBLIK GUATEMALA||GUATEMALA (CENTRAL AMERICA). REPUBLIC OF GUATEMALA||ETHNOMEDICINE + TRADITIONAL MEDICINE + ETHNOPHARMACOLOGY (ETHNOLOGY)||ETHNOMEDIZIN + TRADITIONELLE MEDIZIN + ETHNOPHARMAKOLOGIE (ETHNOLOGIE)||VEGETABLE PHARMACEUTICAL DRUGS AND MEDICINAL PLANTS||PFLANZLICHE ARZNEIMITTEL + HEILPFLANZEN","Mayan phytotherapy in Guatemala: A transdisciplinary study for ethnographic documentation and local empowerment",,"Doctoral Thesis","Open access",,"DDC - DDC::6 - Technology, medicine and applied sciences::610 - Medical sciences, medicine||DDC - DDC::5 - Science::580 - Botanical sciences","2017-06-12T13:54:25Z","2017-10-17","pub:183421","eth:49773","yes",,,,,,,,,"23585","imp593654c47d93513649||imp59366b9d8dcf998690","010735971",,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science||ETH Zürich::00002 - ETH Zürich, direkt::00012 - Lehre und Forschung, direkt::00007 - Departemente, direkt::02350 - Departement Umweltsystemwissenschaften / Department of Environmental Systems Science::02720 - Institut für Integrative Biologie (IBZ) / Institute of Integrative Biology (IBZ)::03393 - Edwards, Peter||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich, direkt::00012 - Lehre und Forschung, direkt::00007 - Departemente, direkt::02350 - Departement Umweltsystemwissenschaften / Department of Environmental Systems Science::02720 - Institut für Integrative Biologie (IBZ) / Institute of Integrative Biology (IBZ)::03393 - Edwards, Peter||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02350||03393||02351","03393||02351",,,,"Zürich","published",,,,,,,,,"2017-07-13T02:41:44Z","2021-02-14T20:38:58Z","true","1 Band","ECOL||ECIT",,,
"126896","20.500.11850/21","Robledo Abad, Carmenza||Görlinger, Susann||Knöri, Christof||Meylan, Grégoire||Seidl, Roman||Stauffacher, Michael",,,"2017-06-12T19:05:45Z","2017-06-12T19:05:45Z","2016",,,,,,,,,"http://hdl.handle.net/20.500.11850/126929","en","ETH Zürich, USYS TdLab",,,,,"Guideline for assessing barriers to Low Carbon Technologies in Buildings",,"Report","Metadata only",,,"2017-06-12T19:06:12Z",,"pub:189722",,"yes",,,,,,,,,,"imp593655282afda11258",,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02723 - Institut für Umweltentscheidungen / Institute for Environmental Decisions::02351 - TdLab / TdLab","02351","02351",,,,"Zürich","published",,,,,,,,,"2017-07-14T17:06:02Z","2019-02-02T07:35:20Z","true","64 p.","ECIT",,,
